,name,res,p
0,OptiMAC_25/30_p=0.6,31025,0.6
1,OptiMAC_30/30_p=0.6,16757,0.6
2,OptiMAC_18/30_p=0.6,43860,0.6
3,OptiMAC_13/25_p=0.6,23228,0.6
4,OptiMAC_14/25_p=0.6,23538,0.6
5,OptiMAC_15/25_p=0.6,23268,0.6
6,OptiMAC_16/25_p=0.6,23219,0.6
7,OptiMAC_18/25_p=0.6,21496,0.6
8,OptiMAC_20/25_p=0.6,18164,0.6
9,OptiMAC_22/25_p=0.6,15696,0.6
10,OptiMAC_25/25_p=0.6,9788,0.6
11,AggMAC_2,23917,0.6
12,AggMAC_3,38485,0.6
13,AggMAC_4,47232,0.6
14,AggMAC_5,52461,0.6
15,trad,0,0.6
16,Whip_2,39032,0.6
17,Whip_3,51902,0.6
18,Whip_4,56797,0.6
19,Whip_5,58933,0.6
20,OptiMAC_5/30_p=0.6,55170,0.6
21,OptiMAC_10/30_p=0.6,38455,0.6
22,Golomb,22577,0.6
23,g-Sidon_2,29509,0.6
0,OptiMAC_5/20_p=0.7,45929,0.7
1,OptiMAC_10/20_p=0.7,20992,0.7
2,OptiMAC_15/20_p=0.7,20733,0.7
3,OptiMAC_5/30_p=0.7,58223,0.7
4,OptiMAC_10/30_p=0.7,35601,0.7
5,OptiMAC_15/30_p=0.7,21029,0.7
6,AggMAC_2,20811,0.7
7,AggMAC_3,35606,0.7
8,AggMAC_4,46277,0.7
9,AggMAC_5,53769,0.7
10,trad,0,0.7
11,Whip_2,36788,0.7
12,Whip_3,53375,0.7
13,Whip_4,61630,0.7
14,Whip_5,65398,0.7
15,OptiMAC_25/30_p=0.7,27226,0.7
16,OptiMAC_30/30_p=0.7,9168,0.7
17,OptiMAC_18/30_p=0.7,26042,0.7
18,OptiMAC_13/25_p=0.7,20214,0.7
19,OptiMAC_14/25_p=0.7,28215,0.7
20,OptiMAC_15/25_p=0.7,26682,0.7
21,OptiMAC_16/25_p=0.7,22838,0.7
22,OptiMAC_18/25_p=0.7,18227,0.7
23,OptiMAC_20/25_p=0.7,16662,0.7
24,OptiMAC_22/25_p=0.7,16024,0.7
25,OptiMAC_25/25_p=0.7,9989,0.7
26,Golomb,14793,0.7
27,g-Sidon_2,21315,0.7
0,OptiMAC_5/20_p=0.8,39122,0.8
1,OptiMAC_10/20_p=0.8,23060,0.8
2,OptiMAC_15/20_p=0.8,11181,0.8
3,OptiMAC_5/30_p=0.8,53578,0.8
4,OptiMAC_10/30_p=0.8,38038,0.8
5,OptiMAC_15/30_p=0.8,20139,0.8
6,AggMAC_2,16030,0.8
7,AggMAC_3,28798,0.8
8,AggMAC_4,39436,0.8
9,AggMAC_5,46976,0.8
10,trad,0,0.8
11,Whip_2,30650,0.8
12,Whip_3,49384,0.8
13,Whip_4,60008,0.8
14,Whip_5,67049,0.8
15,OptiMAC_25/30_p=0.8,12327,0.8
16,OptiMAC_30/30_p=0.8,7685,0.8
17,OptiMAC_18/30_p=0.8,34274,0.8
18,OptiMAC_13/25_p=0.8,18410,0.8
19,OptiMAC_14/25_p=0.8,23861,0.8
20,OptiMAC_15/25_p=0.8,19128,0.8
21,OptiMAC_16/25_p=0.8,19132,0.8
22,OptiMAC_18/25_p=0.8,12951,0.8
23,OptiMAC_20/25_p=0.8,14207,0.8
24,OptiMAC_22/25_p=0.8,10604,0.8
25,OptiMAC_25/25_p=0.8,8880,0.8
26,Golomb,6871,0.8
27,g-Sidon_2,11012,0.8
28,g-Sidon_2,10791,0.8
0,OptiMAC_5/20_p=0.9,26941,0.9
1,OptiMAC_10/20_p=0.9,21658,0.9
2,OptiMAC_15/20_p=0.9,12708,0.9
3,OptiMAC_5/30_p=0.9,45776,0.9
4,OptiMAC_10/30_p=0.9,22094,0.9
5,OptiMAC_15/30_p=0.9,14973,0.9
6,AggMAC_2,8968,0.9
7,AggMAC_3,17277,0.9
8,AggMAC_4,24365,0.9
9,AggMAC_5,30780,0.9
10,trad,0,0.9
11,Whip_2,20314,0.9
12,Whip_3,35633,0.9
13,Whip_4,48035,0.9
14,Whip_5,56968,0.9
15,OptiMAC_30/30_p=0.9,74714,0.9
16,OptiMAC_25/30_p=0.9,70008,0.9
17,OptiMAC_18/30_p=0.9,69599,0.9
18,OptiMAC_13/25_p=0.9,17113,0.9
19,OptiMAC_14/25_p=0.9,7551,0.9
20,OptiMAC_15/25_p=0.9,14833,0.9
21,OptiMAC_16/25_p=0.9,12647,0.9
22,OptiMAC_18/25_p=0.9,11873,0.9
23,OptiMAC_20/25_p=0.9,10408,0.9
24,OptiMAC_22/25_p=0.9,7593,0.9
25,OptiMAC_25/25_p=0.9,6173,0.9
26,g-Sidon_2,3207,0.9
27,Golomb,1969,0.9
