,name,res,p
0,OptiMAC_25/30_p=0.6,0.06153846153846666,0.6
1,OptiMAC_30/30_p=0.6,0.06666666666666442,0.6
2,OptiMAC_18/30_p=0.6,0.0,0.6
3,OptiMAC_13/25_p=0.6,0.1815055653251977,0.6
4,OptiMAC_14/25_p=0.6,0.17255533395543787,0.6
5,OptiMAC_15/25_p=0.6,0.1292886898358022,0.6
6,OptiMAC_16/25_p=0.6,0.089899242487391,0.6
7,OptiMAC_18/25_p=0.6,0.14412786870187091,0.6
8,OptiMAC_20/25_p=0.6,0.19030773658580694,0.6
9,OptiMAC_22/25_p=0.6,0.1856140726911135,0.6
10,OptiMAC_25/25_p=0.6,0.16807709351812716,0.6
11,AggMAC_2,0.0,0.6
12,AggMAC_3,0.0,0.6
13,AggMAC_4,0.0,0.6
14,AggMAC_5,0.0,0.6
15,trad,0.20000000000001808,0.6
16,Whip_2,0.0,0.6
17,Whip_3,0.0,0.6
18,Whip_4,0.0,0.6
19,Whip_5,0.0,0.6
20,OptiMAC_5/30_p=0.6,0.0,0.6
21,OptiMAC_10/30_p=0.6,0.25714285714286517,0.6
22,Golomb,0.0,0.6
23,g-Sidon_2,0.0,0.6
0,OptiMAC_5/20_p=0.7,0.1135386497589359,0.7
1,OptiMAC_10/20_p=0.7,0.2792558511702336,0.7
2,OptiMAC_15/20_p=0.7,0.11504140151497043,0.7
3,OptiMAC_5/30_p=0.7,0.20000000000000437,0.7
4,OptiMAC_10/30_p=0.7,0.2999999999999819,0.7
5,OptiMAC_15/30_p=0.7,0.3200000000000186,0.7
6,AggMAC_2,0.1998674431744158,0.7
7,AggMAC_3,0.0,0.7
8,AggMAC_4,0.0,0.7
9,AggMAC_5,0.0,0.7
10,trad,0.2499408337292826,0.7
11,Whip_2,0.00980196039207878,0.7
12,Whip_3,0.0,0.7
13,Whip_4,0.0,0.7
14,Whip_5,0.0,0.7
15,OptiMAC_25/30_p=0.7,0.14285714285715265,0.7
16,OptiMAC_30/30_p=0.7,0.20000000000000437,0.7
17,OptiMAC_18/30_p=0.7,0.1071428571428522,0.7
18,OptiMAC_13/25_p=0.7,0.2657807308970139,0.7
19,OptiMAC_14/25_p=0.7,0.1264309764309778,0.7
20,OptiMAC_15/25_p=0.7,0.12149244526672925,0.7
21,OptiMAC_16/25_p=0.7,0.1777210884353691,0.7
22,OptiMAC_18/25_p=0.7,0.22157716497339058,0.7
23,OptiMAC_20/25_p=0.7,0.2057226399331667,0.7
24,OptiMAC_22/25_p=0.7,0.2032786885245891,0.7
25,OptiMAC_25/25_p=0.7,0.18988391376451164,0.7
26,Golomb,0.25,0.7
27,g-Sidon_2,0.25,0.7
0,OptiMAC_5/20_p=0.8,0.3076923076923197,0.8
1,OptiMAC_10/20_p=0.8,0.19444444444445524,0.8
2,OptiMAC_15/20_p=0.8,0.34782608695650535,0.8
3,OptiMAC_5/30_p=0.8,0.17647058823529427,0.8
4,OptiMAC_10/30_p=0.8,0.3636363636363551,0.8
5,OptiMAC_15/30_p=0.8,0.35185185185186235,0.8
6,AggMAC_2,0.33326098984235747,0.8
7,AggMAC_3,0.2724489795918411,0.8
8,AggMAC_4,0.1532982075750982,0.8
9,AggMAC_5,0.0,0.8
10,trad,0.2857142857142828,0.8
11,Whip_2,0.22222222222219748,0.8
12,Whip_3,0.0,0.8
13,Whip_4,0.0,0.8
14,Whip_5,0.0,0.8
15,OptiMAC_25/30_p=0.8,0.28378378378377145,0.8
16,OptiMAC_30/30_p=0.8,0.3148148148148023,0.8
17,OptiMAC_18/30_p=0.8,0.23333333333334144,0.8
18,OptiMAC_13/25_p=0.8,0.3260869565217479,0.8
19,OptiMAC_14/25_p=0.8,0.0,0.8
20,OptiMAC_15/25_p=0.8,0.35999999999997956,0.8
21,OptiMAC_16/25_p=0.8,0.32692307692309014,0.8
22,OptiMAC_18/25_p=0.8,0.33928571428571386,0.8
23,OptiMAC_20/25_p=0.8,0.2833333333333224,0.8
24,OptiMAC_22/25_p=0.8,0.296875,0.8
25,OptiMAC_25/25_p=0.8,0.2888888888888784,0.8
26,Golomb,0.2738095238095189,0.8
27,g-Sidon_2,0.2738095238095189,0.8
28,g-Sidon_2,0.2738095238095189,0.8
0,OptiMAC_5/20_p=0.9,0.5357142857142538,0.9
1,OptiMAC_10/20_p=0.9,0.3684210526316146,0.9
2,OptiMAC_15/20_p=0.9,0.45454545454548545,0.9
3,OptiMAC_5/30_p=0.9,0.32432432432435276,0.9
4,OptiMAC_10/30_p=0.9,0.3404255319148891,0.9
5,OptiMAC_15/30_p=0.9,0.35087719298245074,0.9
6,AggMAC_2,0.4209565362383332,0.9
7,AggMAC_3,0.44660633484164614,0.9
8,AggMAC_4,0.42827765491016156,0.9
9,AggMAC_5,0.38404021650357795,0.9
10,trad,0.31034482758622,0.9
11,Whip_2,0.3684210526316146,0.9
12,Whip_3,0.31809145129226174,0.9
13,Whip_4,0.21428571428569648,0.9
14,Whip_5,0.07655502392344693,0.9
15,OptiMAC_30/30_p=0.9,0.0,0.9
16,OptiMAC_25/30_p=0.9,0.0,0.9
17,OptiMAC_18/30_p=0.9,0.0,0.9
18,OptiMAC_13/25_p=0.9,0.4328190891260161,0.9
19,OptiMAC_14/25_p=0.9,0.4102729886675642,0.9
20,OptiMAC_15/25_p=0.9,0.4125024855075511,0.9
21,OptiMAC_16/25_p=0.9,0.4149681144982926,0.9
22,OptiMAC_18/25_p=0.9,0.3587005752022499,0.9
23,OptiMAC_20/25_p=0.9,0.3150059386385901,0.9
24,OptiMAC_22/25_p=0.9,0.3350569965723812,0.9
25,OptiMAC_25/25_p=0.9,0.35680085801593364,0.9
26,g-Sidon_2,0.3103448275861913,0.9
27,Golomb,0.3103448275861913,0.9
