,name,res,p
0,OptiMAC_5/20_p=0.7,0.23937467836092838,0.7
1,OptiMAC_10/20_p=0.7,0.4002730495631343,0.7
2,OptiMAC_15/20_p=0.7,0.3300266507598466,0.7
3,OptiMAC_5/30_p=0.7,0.12789111055221047,0.7
4,OptiMAC_10/30_p=0.7,0.3246058006453202,0.7
5,OptiMAC_15/30_p=0.7,0.4061458953728799,0.7
6,AggMAC_2,0.4005482246725895,0.7
7,AggMAC_3,0.3277887899806087,0.7
8,AggMAC_4,0.24038759782562696,0.7
9,AggMAC_5,0.17591011691414293,0.7
10,trad,0.4099916202606191,0.7
11,Whip_2,0.2702787018568141,0.7
12,Whip_3,0.15374833103621405,0.7
13,Whip_4,0.08389744464101606,0.7
14,Whip_5,0.04548427527147943,0.7
0,OptiMAC_5/20_p=0.8,0.3733159266244663,0.8
1,OptiMAC_10/20_p=0.8,0.43015638217879343,0.8
2,OptiMAC_15/20_p=0.8,0.43685322436640067,0.8
3,OptiMAC_5/30_p=0.8,0.2651707412652889,0.8
4,OptiMAC_10/30_p=0.8,0.36589738454213294,0.8
5,OptiMAC_15/30_p=0.8,0.4556687367863205,0.8
6,AggMAC_2,0.4881587464892758,0.8
7,AggMAC_3,0.44774594260376166,0.8
8,AggMAC_4,0.3806489025566636,0.8
9,AggMAC_5,0.3218205646532305,0.8
10,trad,0.44257740197804135,0.8
11,Whip_2,0.3729873304999285,0.8
12,Whip_3,0.2594366137426622,0.8
13,Whip_4,0.17606304245202622,0.8
14,Whip_5,0.11825006314039767,0.8
0,OptiMAC_5/20_p=0.9,0.5373654982514667,0.9
1,OptiMAC_10/20_p=0.9,0.48082542687083857,0.9
2,OptiMAC_15/20_p=0.9,0.47236083759611336,0.9
3,OptiMAC_5/30_p=0.9,0.40638526243142353,0.9
4,OptiMAC_10/30_p=0.9,0.547996456858231,0.9
5,OptiMAC_15/30_p=0.9,0.5246291776277716,0.9
6,AggMAC_2,0.5769264609966136,0.9
7,AggMAC_3,0.5850085285213404,0.9
8,AggMAC_4,0.5663672493482496,0.9
9,AggMAC_5,0.5300923830525179,0.9
10,trad,0.4727742473052965,0.9
11,Whip_2,0.495169075580557,0.9
12,Whip_3,0.4304006008829272,0.9
13,Whip_4,0.3603860301433836,0.9
14,Whip_5,0.2853372983563945,0.9
