,X,DIGESTMOD,QUALITY,PAYLOAD_SIZE_BYTE,ATTACK_PROBABILITY,goodput,avg_verification,latency,frame_rate
1,"0.75 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.0,0.563549343148996,256.0,0.014350641498841701,6.576923076923077
2,"0.75 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.01,0.5458930125693408,245.9138397941434,0.08382401880023199,3.4285714285714284
3,"0.75 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.1,0.4021393533613421,168.31062913657394,0.5573212628614841,
4,"0.75 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.2,0.2745441871747007,105.96139036396475,1.0800381877480179,
5,"0.75 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.3,0.18061287422796948,63.85865175348651,,
6,"0.8 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.0,0.5650933059840315,256.0,0.010344713199701434,6.2
7,"0.8 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.01,0.547958628788831,246.28839599538153,0.09933332586843803,3.96
8,"0.8 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.1,0.40329244207859355,168.9636374534703,0.8505387664721349,
9,"0.8 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.2,0.27595774156644814,106.67454768656623,1.625673933734777,
10,"0.8 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.3,0.17957290347114516,63.777695980608215,,
11,"0.7 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.0,0.5613809620692247,256.0,0.0074013424415840315,7.481481481481482
12,"0.7 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.01,0.5467259227559808,246.05031821848266,-0.009982193697689198,4.130434782608695
13,"0.7 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.1,0.4026619720638259,169.09576956357816,-0.19019330775071036,1.0
14,"0.7 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.2,0.27396059695072206,105.99975790195978,-0.3231230750696368,
15,"0.7 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.3,0.17820466026259218,63.11325807877173,,
16,"0.95 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.0,0.5612481934274332,1280.0,0.006898290410999854,8.037037037037036
17,"0.95 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.01,0.4681458440997058,1055.047697957619,0.01097895129338032,5.08
18,"0.95 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.1,0.07554879870127144,167.0257972648083,,1.2
19,"0.95 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.2,0.008386991497997136,21.928465461915742,,
20,"0.95 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.3,0.0006267593910813023,3.2168258707036013,,
21,"0.85 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.0,0.5634355174283678,512.0,0.009021405302799046,8.857142857142858
22,"0.85 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.01,0.549239979545699,473.3352026636492,0.023309398664237993,4.541666666666667
23,"0.85 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.1,0.3682924732926705,223.36880516166562,0.3864566544598513,1.0
24,"0.85 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.2,0.18430852458126729,89.86692960869414,,
25,"0.85 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.3,0.07771986723469285,33.19763499526989,,1.0
26,"0.9 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.0,0.5619502776084243,512.0,0.008791603151375543,7.407407407407407
27,"0.9 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.01,0.5552148917824878,472.80892561508034,0.03800726094642264,4.44
28,"0.9 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.1,0.3834308632491433,222.62418085176702,0.46636902009665715,
29,"0.9 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.2,0.19524220949669677,89.53573811952123,,
30,"0.9 opmtial, m_nr: 20, t_nr: 5",sha256,25,16,0.3,0.0823902628490018,33.169947916280236,,
31,"0.95 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.0,0.4363203526065395,2560.0,0.009675693107011427,7.535714285714286
32,"0.95 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.01,0.3597317706247729,2088.7142591114844,,4.269230769230769
33,"0.95 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.1,0.05977783486324077,328.81856578670727,,1.6666666666666667
34,"0.95 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.2,0.006159233764886921,37.358640524910314,,
35,"0.95 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.3,0.0005091486695476949,5.429933256448078,,
36,"0.75 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.0,0.4388640455609576,512.0,0.015393099276008963,6.222222222222222
37,"0.75 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.01,0.4367272965216163,491.7790719010983,0.06535828333738328,4.64
38,"0.75 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.1,0.3940492210173594,339.4577691005553,0.7674470321026714,1.0
39,"0.75 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.2,0.31444580719031473,213.07662110603093,1.709243826212209,
40,"0.75 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.3,0.2277160641407124,126.02082787728415,1.2142426198099603,
41,"0.85 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.0,0.43815814982473683,768.0,0.017150619817775645,6.074074074074074
42,"0.85 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.01,0.4379464720680347,722.766890984371,0.0462625981409199,4.208333333333333
43,"0.85 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.1,0.3842799419327801,410.4149966600214,-0.3025069318113841,1.25
44,"0.85 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.2,0.27531000385158655,206.50615701240542,,
45,"0.85 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.3,0.16387105555312212,95.20294576421372,,
46,"0.8 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.0,0.43869478627402714,512.0,0.015183951758774562,5.703703703703703
47,"0.8 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.01,0.4359445667596998,492.1684538714711,-0.004072038208923635,4.461538461538462
48,"0.8 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.1,0.3845676087266384,338.43611007656574,-0.07008310477096918,
49,"0.8 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.2,0.30144611385740455,211.92579188071568,-0.11504037211034732,
50,"0.8 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.3,0.2143991773885686,124.44350098200542,-0.16244186852949072,
51,"0.9 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.0,0.4368916271239084,1280.0,0.007943691039932935,7.846153846153846
52,"0.9 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.01,0.43521622724680487,1158.8481407061163,0.0652258567131192,5.423076923076923
53,"0.9 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.1,0.3287040458848858,456.2768398824525,0.007683385248737993,1.0
54,"0.9 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.2,0.16528420740694838,144.72652514058683,,
55,"0.9 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.3,0.06108752251085743,42.633966993797216,,
56,"0.7 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.0,0.4367396925941284,256.0,0.00885637715237147,8.0
57,"0.7 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.01,0.43375848938577555,250.86571251417894,0.04171498332024938,6.2
58,"0.7 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.1,0.38756913213288013,207.87055504033808,0.5791539988039752,1.0
59,"0.7 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.2,0.33790402595729024,164.07912709072798,0.8953504061872722,
60,"0.7 opmtial, m_nr: 20, t_nr: 10",sha256,25,16,0.3,0.2869081518461516,125.86724579830482,1.595479215537111,
61,"0.95 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.0,0.35769997728965436,3840.0,0.013101779572399571,6.730769230769231
62,"0.95 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.01,0.2970917971793786,3175.950462679571,,4.0
63,"0.95 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.1,0.04836872262649257,490.1550053963682,,1.2857142857142858
64,"0.95 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.2,0.004959108312174943,55.497443337694556,,
65,"0.95 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.3,0.0006572307927665869,11.489127628329458,,
66,"0.75 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.0,0.35838727636277157,768.0,0.01568627428290712,5.6923076923076925
67,"0.75 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.01,0.3571119336524594,738.8978289168227,-0.0066601374443857365,4.36
68,"0.75 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.1,0.34138334600990133,506.61717463369695,-0.12752353299667213,1.2
69,"0.75 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.2,0.29728741433337613,319.20314471004696,-0.00946665581669736,
70,"0.75 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.3,0.23239401036934906,188.29880399776005,0.3289428044058572,
71,"0.8 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.0,0.3573657647425664,768.0,0.01472532286857543,6.2592592592592595
72,"0.8 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.01,0.3574767444876196,737.5368123264968,0.03916306382080956,5.230769230769231
73,"0.8 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.1,0.3428439756884748,506.180733426419,0.21397041285347673,1.2222222222222223
74,"0.8 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.2,0.2986195889696858,318.3503382614355,0.46259326450335586,
75,"0.8 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.3,0.23619843848566527,188.2038111500419,0.890857373275462,
76,"0.7 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.0,0.3583360180275293,768.0,0.01633220089290732,6.666666666666667
77,"0.7 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.01,0.356412000349904,737.5852643776774,0.052430393010551725,5.6923076923076925
78,"0.7 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.1,0.34447571072058125,504.31352742800567,0.37849007125142836,1.1666666666666667
79,"0.7 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.2,0.3019594424715769,319.2128611088429,1.0020519710917224,1.0
80,"0.7 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.3,0.23985164034898762,187.9294158081027,1.2405541947340377,
81,"0.9 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.0,0.35712562395394687,1804.7999999999997,0.01371302508011292,7.038461538461538
82,"0.9 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.01,0.35646692404785846,1643.8495565577487,0.08033114968170973,5.28
83,"0.9 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.1,0.3018074847927052,680.5347614885342,1.0677684156861293,1.3333333333333333
84,"0.9 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.2,0.1815040527168835,234.99223634639966,,
85,"0.9 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.3,0.08015123875696867,72.37762505131309,,
86,"0.85 opmtial, m_nr: 20, t_nr: 15",sha256,25,16,0.0,0.3558527391469127,1280.0,0.014890415263931325,6.038461538461538
