.1 attack ratio
goodput: 0.7290845807310092, without zero: 0.755948419372535 eye(18)
goodput: 0.7311734964768541, without zero: 0.8376255446328021 
goodput: 0.8640609038962361, without zero: 0.8736758249336571 
goodput: 0.6826477471212552, without zero: 0.687819320963083 
goodput: 0.8395865542366131, without zero: 0.8492093227665457 
goodput: 0.9508576913227341, without zero: 0.9508576913227341 
goodput: 0.9396989644309719, without zero: 0.9396989644309719 
goodput: 0.6999124168135916, without zero: 0.6999124168135916 
goodput: 0.7012248728583249, without zero: 0.7012248728583249 
goodput: 0.6942949668983398, without zero: 0.7014526469694568 
goodput: 0.3186537194904405, without zero: 0.3186537194904405 
