,X,DIGESTMOD,QUALITY,PAYLOAD_SIZE_BYTE,ATTACK_PROBABILITY,goodput,avg_verification,latency,frame_rate,optimal,m_nr,t_nr,ratio
8,"0.2 optimal, m_nr: 20, t_nr: 5",sha512,10,96,0.2,0.4070402734650416,233.49746532759445,-0.5932438764010391,1.4444444444444444,0.2,20,5,0.25
14,"0.3 optimal, m_nr: 20, t_nr: 5",sha512,10,96,0.3,0.28687624940261697,149.7575507079985,-0.10482976712906653,1.1666666666666667,0.3,20,5,0.25
27,"0.1 optimal, m_nr: 20, t_nr: 5",sha512,10,96,0.1,0.5547316621917346,479.182841656988,6.127089930372343,5.12,0.1,20,5,0.25
48,"0.2 optimal, m_nr: 20, t_nr: 10",sha512,10,96,0.2,0.5010295323038398,466.57836969001147,15.555559631559115,1.5,0.2,20,10,0.5
52,"0.1 optimal, m_nr: 20, t_nr: 10",sha512,10,96,0.1,0.5273508533193552,1047.6440338722093,-2.7803393352764245,6.37037037037037,0.1,20,10,0.5
59,"0.3 optimal, m_nr: 20, t_nr: 10",sha512,10,96,0.3,0.4835831477968365,266.7912337164751,0.029788578139523486,1.3333333333333333,0.3,20,10,0.5
73,"0.2 optimal, m_nr: 20, t_nr: 15",sha512,10,96,0.2,0.5051933264890158,709.9416917728853,12.792196963887244,4.0,0.2,20,15,0.75
79,"0.3 optimal, m_nr: 20, t_nr: 15",sha512,10,96,0.3,0.43402522441668295,439.3955555555555,8.386782005549012,2.4285714285714284,0.3,20,15,0.75
82,"0.1 optimal, m_nr: 20, t_nr: 15",sha512,10,96,0.1,0.5199085596992198,1538.8976958525345,4.6789968739224905,9.11111111111111,0.1,20,15,0.75
98,"0.2 optimal, m_nr: 30, t_nr: 5",sha512,10,96,0.2,0.264960365214621,133.92454297938548,-0.03854794325701443,1.0,0.2,30,5,0.16666666666666666
109,"0.3 optimal, m_nr: 30, t_nr: 5",sha512,10,96,0.3,0.1338528040589526,62.133963750985025,0.0012451602407723417,,0.3,30,5,0.16666666666666666
112,"0.1 optimal, m_nr: 30, t_nr: 5",sha512,10,96,0.1,0.39121840346500164,288.65697808535185,0.029687827706455866,2.2777777777777777,0.1,30,5,0.16666666666666666
129,"0.3 optimal, m_nr: 30, t_nr: 10",sha512,10,96,0.3,0.3703180390574437,176.70023529411765,0.02514047495328034,1.0,0.3,30,10,0.3333333333333333
132,"0.1 optimal, m_nr: 30, t_nr: 10",sha512,10,96,0.1,0.57784578015862,587.9437139561707,0.014614531731053537,4.708333333333333,0.1,30,10,0.3333333333333333
148,"0.2 optimal, m_nr: 30, t_nr: 10",sha512,10,96,0.2,0.3872592385364511,402.34176245210733,-11.749058487370153,2.6875,0.2,30,10,0.3333333333333333
164,"0.3 optimal, m_nr: 30, t_nr: 15",sha512,10,96,0.3,0.47472362683032243,261.6558523680475,10.143540066548814,1.3636363636363635,0.3,30,15,0.5
167,"0.1 optimal, m_nr: 30, t_nr: 15",sha512,10,96,0.1,0.562819644875913,919.6695976552093,-0.0016139229031066071,7.5,0.1,30,15,0.5
178,"0.2 optimal, m_nr: 30, t_nr: 15",sha512,10,96,0.2,0.5220953228254993,427.19693133870345,0.5418715244693633,3.0454545454545454,0.2,30,15,0.5
0,"0.25 optimal, m_nr: 20, t_nr: 5",sha512,10,96,0.0,0.7625870587600115,512.0,0.0023686123626153258,21.724137931034484,0.25,20,5,0.25
1,"0.25 optimal, m_nr: 20, t_nr: 5",sha512,10,96,0.01,0.7480359412955271,493.8940672782875,0.5090475270666456,17.03448275862069,0.25,20,5,0.25
5,"0.2 optimal, m_nr: 20, t_nr: 5",sha512,10,96,0.0,0.7526607696471586,512.0,0.0016825645953256266,20.96551724137931,0.2,20,5,0.25
6,"0.2 optimal, m_nr: 20, t_nr: 5",sha512,10,96,0.01,0.735342215584282,496.19170506912445,0.8549936808191747,17.785714285714285,0.2,20,5,0.25
10,"0.3 optimal, m_nr: 20, t_nr: 5",sha512,10,96,0.0,0.7425546983564331,512.0,0.0021073023968622567,20.93103448275862,0.3,20,5,0.25
11,"0.3 optimal, m_nr: 20, t_nr: 5",sha512,10,96,0.01,0.7316404024851948,494.12212782242636,-0.16349596510741432,18.035714285714285,0.3,20,5,0.25
15,"0.05 optimal, m_nr: 20, t_nr: 5",sha512,10,96,0.0,0.7386689662797418,2560.0,0.0020106771395162273,20.620689655172413,0.05,20,5,0.25
16,"0.05 optimal, m_nr: 20, t_nr: 5",sha512,10,96,0.01,0.6335557414084582,2139.4075774971298,0.1304442987565508,14.214285714285714,0.05,20,5,0.25
20,"0.15 optimal, m_nr: 20, t_nr: 5",sha512,10,96,0.0,0.7429747792659666,1024.0,0.002150365687262866,20.344827586206897,0.15,20,5,0.25
21,"0.15 optimal, m_nr: 20, t_nr: 5",sha512,10,96,0.01,0.7347172265065928,956.3757967667436,0.49408671278602434,16.928571428571427,0.15,20,5,0.25
25,"0.1 optimal, m_nr: 20, t_nr: 5",sha512,10,96,0.0,0.7476840133336776,1024.0,0.0016801394896735974,20.24137931034483,0.1,20,5,0.25
26,"0.1 optimal, m_nr: 20, t_nr: 5",sha512,10,96,0.01,0.7448571729566954,955.3275524475525,0.879755458126458,18.5,0.1,20,5,0.25
30,"0.05 optimal, m_nr: 20, t_nr: 10",sha512,10,96,0.0,0.6110628632801771,5120.0,0.0030361731315071416,20.862068965517242,0.05,20,10,0.5
31,"0.05 optimal, m_nr: 20, t_nr: 10",sha512,10,96,0.01,0.5227969406812275,4245.958577569363,0.9614179126152043,13.555555555555555,0.05,20,10,0.5
35,"0.25 optimal, m_nr: 20, t_nr: 10",sha512,10,96,0.0,0.6449783662458881,1024.0,-0.003262231271940523,20.517241379310345,0.25,20,10,0.5
36,"0.25 optimal, m_nr: 20, t_nr: 10",sha512,10,96,0.01,0.6511536127799993,989.5697695852535,0.3949996638216246,18.655172413793103,0.25,20,10,0.5
40,"0.15 optimal, m_nr: 20, t_nr: 10",sha512,10,96,0.0,0.6496602110804498,1536.0,0.0017686848387782478,19.96551724137931,0.15,20,10,0.5
41,"0.15 optimal, m_nr: 20, t_nr: 10",sha512,10,96,0.01,0.6426869763294012,1462.9164137931034,0.7815620525669406,18.413793103448278,0.15,20,10,0.5
45,"0.2 optimal, m_nr: 20, t_nr: 10",sha512,10,96,0.0,0.6341116791623584,1024.0,0.0015579702210717986,20.137931034482758,0.2,20,10,0.5
46,"0.2 optimal, m_nr: 20, t_nr: 10",sha512,10,96,0.01,0.6438425943148671,989.8960581706851,0.8242124142139351,17.96551724137931,0.2,20,10,0.5
50,"0.1 optimal, m_nr: 20, t_nr: 10",sha512,10,96,0.0,0.6394157973761144,2560.0,0.0011797447823270954,20.724137931034484,0.1,20,10,0.5
51,"0.1 optimal, m_nr: 20, t_nr: 10",sha512,10,96,0.01,0.6493452393433082,2329.7720430107524,0.053695111927240344,18.620689655172413,0.1,20,10,0.5
55,"0.3 optimal, m_nr: 20, t_nr: 10",sha512,10,96,0.0,0.6507326366922034,512.0,-0.003698288500772119,20.655172413793103,0.3,20,10,0.5
56,"0.3 optimal, m_nr: 20, t_nr: 10",sha512,10,96,0.01,0.6413380196958541,503.4132095901005,-0.09632302255214747,18.448275862068964,0.3,20,10,0.5
60,"0.05 optimal, m_nr: 20, t_nr: 15",sha512,10,96,0.0,0.5673368807134483,7680.0,0.0021563975342022354,20.06896551724138,0.05,20,15,0.75
61,"0.05 optimal, m_nr: 20, t_nr: 15",sha512,10,96,0.01,0.48364852097756056,6492.146156817304,0.10871308775697691,15.892857142857142,0.05,20,15,0.75
65,"0.25 optimal, m_nr: 20, t_nr: 15",sha512,10,96,0.0,0.5689667633758997,1536.0,0.0020336620001300265,20.517241379310345,0.25,20,15,0.75
66,"0.25 optimal, m_nr: 20, t_nr: 15",sha512,10,96,0.01,0.5697962404417012,1481.795867446394,0.30025244479532603,19.379310344827587,0.25,20,15,0.75
70,"0.2 optimal, m_nr: 20, t_nr: 15",sha512,10,96,0.0,0.5653394826294532,1536.0,0.002412627913696924,20.103448275862068,0.2,20,15,0.75
71,"0.2 optimal, m_nr: 20, t_nr: 15",sha512,10,96,0.01,0.572871265146449,1483.8159220272903,0.48882107362001703,18.586206896551722,0.2,20,15,0.75
75,"0.3 optimal, m_nr: 20, t_nr: 15",sha512,10,96,0.0,0.5500358321850001,1536.0,0.0033275705188270527,20.20689655172414,0.3,20,15,0.75
76,"0.3 optimal, m_nr: 20, t_nr: 15",sha512,10,96,0.01,0.5570829949795507,1480.716564417178,0.8129432940516564,20.82758620689655,0.3,20,15,0.75
80,"0.1 optimal, m_nr: 20, t_nr: 15",sha512,10,96,0.0,0.5730724143120776,3609.5999999999995,0.0013667276365618847,21.03448275862069,0.1,20,15,0.75
81,"0.1 optimal, m_nr: 20, t_nr: 15",sha512,10,96,0.01,0.5743303881211905,3326.3380364765226,0.4252932594541525,19.275862068965516,0.1,20,15,0.75
85,"0.15 optimal, m_nr: 20, t_nr: 15",sha512,10,96,0.0,0.5766862651619162,2560.0,-0.0033567756082513445,20.79310344827586,0.15,20,15,0.75
86,"0.15 optimal, m_nr: 20, t_nr: 15",sha512,10,96,0.01,0.5761248377218535,2412.4563924295094,0.5425524430172024,18.79310344827586,0.15,20,15,0.75
90,"0.15 optimal, m_nr: 30, t_nr: 5",sha512,10,96,0.0,0.7986099633801635,512.0,0.0019173572187111548,20.896551724137932,0.15,30,5,0.16666666666666666
91,"0.15 optimal, m_nr: 30, t_nr: 5",sha512,10,96,0.01,0.7904052268644772,483.8270857586341,0.0025277340730298498,16.321428571428573,0.15,30,5,0.16666666666666666
95,"0.2 optimal, m_nr: 30, t_nr: 5",sha512,10,96,0.0,0.8108308177257025,512.0,0.002507462859734952,21.103448275862068,0.2,30,5,0.16666666666666666
